Column1,Column2
U.S. House approves bill to fund government as deadlines near,"A Democratic bill to fund the U.S. government through December 3 and suspend the nation's borrowing limit until the end of 2022 passed the House of Representatives on Tuesday, heading to the Senate where Republicans vow to block it.

The House vote was 220-211 along party lines. All Democrats voted for it and all Republicans opposed it.

If Republicans stick by their refusal to support the measure in the Senate, Democrats will have to come up with a new strategy or quickly face the twin problems of a government in partial shutdown that is unable to pay its bills and the risk of a default for the first time in modern history.

Congress faces a September 30 deadline to approve stopgap funding that would avert partial government shutdowns with the start of the new fiscal year on October 1.



The Treasury Department will some time in October exhaust its borrowing authority unless the debt limit is raised.



The bill would suspend the limit on government borrowing through December 2022."
Sudan arrests leader of foiled coup attempt,"Chairman of the Sovereignty Council General Abdel Fattah Abdelrahman al-Burhan is accompanied by Deputy Chairman of the Sovereignty Council Mohamed Hamdan Dagalo during his visit to the army corps after the Sudanese army foiled a coup attempt in the country, Khartoum, Sudan, September 21, 2021. /CFP

Chairman of the Sovereignty Council General Abdel Fattah Abdelrahman al-Burhan is accompanied by Deputy Chairman of the Sovereignty Council Mohamed Hamdan Dagalo during his visit to the army corps after the Sudanese army foiled a coup attempt in the country, Khartoum, Sudan, September 21, 2021. /CFP

Sudan's Security and Defense Council on Tuesday announced the arrest of Major General Abdul-Baqi Hassan Osman, the leader of the foiled coup attempt.

The council added that 22 other military officers of different ranks and a number of non-commissioned officers and soldiers were also arrested.

The council held an emergency meeting, chaired by Chairman of Sudan's Sovereign Council Abdel Fattah al-Burhan, to discuss the security situation in Sudan following the thwarted coup attempt.

""The initial investigations indicated that the coup attempt aimed to seize power and undermine the current transitional period,"" Sudan's Defense Minister Yassin Ibrahim Yassin said in a statement.

Earlier on Tuesday, the Sudan authorities announced ""the foiling of a coup attempt carried out by a group of armed forces officers from the remnants of the former regime.""

Sudan's Prime Minister Abdalla Hamdok said the foiled coup attempt was orchestrated by elements inside and outside the army."
Aide of Ukrainian president survives assassination attempt: report,"An investigator examines bullet holes in a car of Sergey Shefir following an assault outside the capital Kyiv, Ukraine, September 22, 2021. /Reuters

An investigator examines bullet holes in a car of Sergey Shefir following an assault outside the capital Kyiv, Ukraine, September 22, 2021. /Reuters

Ukrainian president's advisor Sergey Shefir survived an assassination attempt and is unharmed, local media reported on Wednesday.

More than 10 bullets hit the car near the village of Lesnyky, around five km outside the capital Kyiv, injuring the driver, according to a police statement.

A criminal case on suspicion of premeditated murder had been opened, the police said.

Shefir later said the move was designed to frighten the Ukrainian leadership.

""I have not conducted any cases that would have caused aggression. I think this is intimidation,"" Shefir told a joint news briefing with police and Interior Minister Denys Monastyrsky. ""I think this won't frighten the president."""
Wang Yi: Xi's UNGA remarks add impetus to global development,"Chinese State Councilor and Foreign Minister Wang Yi hailed President Xi Jinping's important statement at the General Debate of the 76th Session of the United Nations General Assembly (UNGA), saying it injects confidence into the global fight against the coronavirus pandemic and guides the way for the common development of the world."
"Russian, U.S. military chiefs meet to discuss risk mitigation: report","Russia's chief of general staff, Valery Gerasimov, and his United States counterpart, chairman of the joint chiefs of staff Mark Milley, met in Helsinki, Finland, on Wednesday to discuss risk mitigation in military activities, the RIA news agency reported.

RIA quoted the Russian Defense Ministry as saying the meeting was constructive."
M6.5 earthquake jolts near coast of Nicaragua,"A magnitude-6.5 earthquake jolted near the coast of Nicaragua on Wednesday, according to the U.S. Geological Survey (USGS).

The quake hit at a depth of 30.7 km, the USGS said. No tsunami warning has been issued."
Border official: Whip use against Haitian migrants under investigation,"Images of a Texas border guard appearing to chase a Haitian migrant with a whip are causing controversy in the United States. The incident took place near a riverside camp on the border with Mexico. The United States is currently deporting the migrants to Haiti. White House spokeswoman said she did not know the context of the image but did not think it was acceptable. The border patrol chief says the incident is being investigated. The U.S. says it has removed about 4,000 people from the camp."
One country's success does not have to mean another's failure,"Chinese President Xi Jinping addresses the General Debate of the 76th session of the United Nations General Assembly via video link, in Beijing, capital of China, September 21, 2021. /Xinhua

Chinese President Xi Jinping addresses the General Debate of the 76th session of the United Nations General Assembly via video link, in Beijing, capital of China, September 21, 2021. /Xinhua

Editor's note: CGTN's First Voice provides instant commentary on breaking stories. The daily column clarifies emerging issues and better defines the news agenda, offering a Chinese perspective on the latest global events.

The world is at a historical crossroads, facing unprecedented dangers from climate change, a global pandemic, and uneven development that leaves many without basic living necessities.

In the face of these threats, humanity has the choice of working together for the common good of all, or choosing to exploit this period of turbulence and transformation for selfish and narrow gains.

The three most crucial threats facing mankind at this moment are climate change, the pandemic, and a movement toward division and war over multilateralism and cooperation.

Some people are under the mistaken impression that protecting the environment must come at the cost of economic growth, but this is not true. Protecting the environment and pursuing development are not at odds, but can work together to bring a better life for everybody.

In recent years, China has demonstrated this again and again with domestic development projects that drive local growth by protecting local natural resources.

China is now demonstrating to the world how this principle can work.

In his speech to the United Nations General Assembly (UNGA), President Xi Jinping committed to stopping financial support to any new coal-fired power plants abroad, and redirecting China's support to green and low-carbon energy.

UN Secretary-General Antonio Guterres praised Xi's pledge, saying that accelerating the global phase out of coal is the single most important step to keep the 1.5-degree goal of the Paris Agreement within reach.

The development of green technology, an area in which China is a global leader, is key to reaching climate change goals, and also keeping a balance between man and nature.

Another threat facing humanity at this crossroads is the COVID-19 pandemic. People's lives must be given priority in the battle against the coronavirus.

Shockingly, some countries have still not learned this lesson.

Some countries, in a rush to put their economy first by sidetracking science, have ended up hurting their economies and people more if they had just implemented simple public health measures in the first place.

World leaders need to respect science, take a science-based approach, and follow the laws of science when fighting COVID-19. Nations must work together to enhance a coordinated global COVID-19 response and minimize the risk of cross-border virus transmission.

Vaccination is the most powerful weapon against COVID-19. President Xi has stressed on many occasions the need to make vaccines a global public good and ensure vaccine accessibility and affordability in developing countries. China is doing its part by aiming to provide 2 billion vaccine doses to the world by the end of this year. China is also donating $100 million to COVAX, and donating 100 million vaccine doses to other developing countries in the course of this year.

But as China tries to help fight COVID-19, others are taking advantage of this plague upon humanity to isolate and alienate their political rivals. China will continue to support and engage in global science-based virus origins tracing, and stands firmly opposed to scapegoating and silly political games that cost people's lives."
AUKUS gaining universal acceptance in Indo-Pacific simply delusional,"Take Malaysia and Indonesia for example. It took only days for the two Association of Southeast Asian Nations (ASEAN) member states to jointly express concern over this pact being a potential trigger for an evolving arms race in the region, which might upset the smooth flow of trade and compromise economic prosperity, the bedrock of ASEAN stability. Note that both Jakarta and Kuala Lumpur acknowledge that this security pact is laced with anti-pacifism and is quintessentially a boisterous display of Western power countering a rising China. Strong bilateral relations with the United States or Australia do not preclude the fact that each state will not extend blanket acceptance of such security pacts as each country strives for a demilitarized and denuclearized zone. The presence of nuclear submarines goes against this principle and is simply unacceptable.

If the objective of the AUKUS security pact between the United Kingdom, Australia and the United States is to bifurcate the globe into ""pro-China"" and ""anti-China"" camps, then that strategy is doomed to fail. In a testament to the looming failure of this dangerous alliance, Southeast Asian states with foreign policy priorities of ""non-alignment"" have issued calls for de-escalation and denuclearization, which have been echoed since the pact came into force. Despite the dissemination of nuclear technologies, sharing of sensitive information and defense force partnerships, military engagements have encountered suspicion in the region. If the Morrison, Biden and Johnson administrations believe that the foreign policies of other countries would be fine-tuned to the whims and wishes of AUKUS, the Southeast Asia case demonstrates that they are mistaken.

Editor's note: Hamzah Rifaat Hussain, a former visiting fellow at the Stimson Center in Washington and former assistant researcher at the Islamabad Policy Research Institute, is a TV anchor at Indus News in Pakistan. The article reflects the author's opinions and not necessarily the views of CGTN.

There is also a growing understanding that events across the world, such as the aftermath of the 20-year U.S. war in Afghanistan, are products of flawed doctrines of intervention co-sponsored by Washington's allies. That is precisely why Biden administration officials such as Vice President Kamala Harris and her anti-China tirades during her South East Asia tour earlier were not reciprocated by any ASEAN member state. Note further that the additional nuclear dimension in the region will only reinforce the narrative that imperialist designs and great power rivalry are being pursued, which imperils the neighborhood due to further military buildups and the risk of miscalculations running high. This also explains why even one of the strongest allies of Australia, Singapore, has expressed concern over Canberra's entire plan of acquiring a nuclear-powered fleet. Can Singapore, or any other state for that matter, be blamed for denouncing the pact as disturbing? The answer is no.

Nuclear-powered submarines cannot be acquired without the future development of nuclear weapons programs, which have proven to be controversial internationally and historically. It also goes against the Non-Proliferation Treaty and the Treaty on the Prohibition of Nuclear Weapons, the latter of which became effective in early 2021 without Australia joining as a signatory. The central tenets of the treaty mandate that all member states will refrain from testing, acquiring, possessing or stockpiling nuclear weapons, yet the Morrison administration has stated that the treaty would go against Australia's security objectives and its alliance with the United States, a nuclear weapons state. Hence, concerns regarding brazen proliferation and a probable deterioration in the deterrence equation in the region are well-founded, logical and principled.

Assurances from AUKUS states regarding the security pact being free of anti-China sentiments will not be bought, given the respective foreign policy priorities of each member state in the Indo-Pacific. In 1995, ASEAN signed the Treaty of Southeast Asia Nuclear Weapon Free Zone, which aims to keep the region denuclearized. However, no nuclear weapons state has signed the treaty. Also, an understanding exists that powers such as the United States are more interested in military buildups and policies of encirclement and attrition than the treaty, which the regional states have historically banked upon.

To believe that AUKUS would gain universal acceptance in the Indo-Pacific would be simply delusional. From the outset, it is a nonstarter.

(If you want to contribute and have specific expertise, please contact us at opinions@cgtn.com.)"
Biden lied when he told UN that U.S. doesn't want a new Cold War,"U.S. President Joe Biden speaks during the UN General Assembly via livestream in New York, U.S., September 21, 2021. /CFP

U.S. President Joe Biden speaks during the UN General Assembly via livestream in New York, U.S., September 21, 2021. /CFP

Editor's note: Andrew Korybko is a Moscow-based American political analyst. The article reflects the author's opinions and not necessarily the views of CGTN.

U.S. President Joe Biden addressed the United Nations General Assembly on Tuesday about a broad range of issues. He deserves praise for committing his country to the international community's efforts to combat climate change and COVID-19.

These were the high marks of speech, but unfortunately, he sullied all of that by lying to everyone when he said that the U.S. doesn't want a new Cold War. The reality is that the U.S. is already in a new Cold War with China characterized by an intense hybrid warfare campaign against it.

Biden claims that the U.S. will cooperate with any country that shares America's supposedly peaceful intentions, but that isn't true when it comes to China. Not only has he aggressively sought to contain the country through a wide range of means stretching from the economic to the military and even informational, but the American leader has also meddled in China's internal affairs.

No clearer evidence of this exists than him exploiting that global podium to attack China for its counterterrorism and deradicalization measures in the Xinjiang Uygur Autonomous Region.

According to him, these measures represent the ""oppression"" of a minority group. He also alluded to that twice earlier in his speech when he warned about emerging technologies being used to deepen repression, especially against minorities.

The U.S. has accused China of such deeds for several years, each time without a sliver of evidence of it using its world-class technological systems to oppress the Uygurs, which isn't true at all but nevertheless has become one of the leading mainstream media narratives for discrediting China.

It was also highly hypocritical of him to say that America doesn't want to divide the world into competing blocs, yet that's exactly what it's doing with the Quad or the Quadrilateral Security Dialogue, and most recently, the new alliance between the U.S., Australia and the UK (AUKUS)."
Key quotes: Xi Jinping's vision of safeguarding world peace,"Tuesday marks the International Day of Peace, representing good wishes for world peace from people all around the globe.

Proposing the concept of ""building a community with a shared future for mankind,"" Chinese President Xi Jinping has on many occasions stressed that China is a staunch advocate and strong defender of world peace and the Chinese people will stay committed to the noble cause of peace and development of mankind.

The following are some highlights of his remarks in this regard."
A look back at 2021: Fulfillment of Chinese dreams,"Shenzhou-12 spacecraft is ready for launch, Jiuquan Satellite Launch Center, China, June 17, 2021. /CFP Shenzhou-12 spacecraft is ready for launch, Jiuquan Satellite Launch Center, China, June 17, 2021. /CFP

The Chinese Mid-Autumn Festival, celebrated on September 21 this year, is an occasion for family reunions. It is a day on which many people believe dreams come true when the moon is at its fullest. On this day, let's take a look back at 2021, which has so far witnessed many of the Chinese dreams come true, including the fulfillment of the first centenary goal of building a moderately prosperous society in all respects and the successful completion of the Shenzhou-12 manned spaceflight mission.

Building a moderately prosperous society ""Through the continued efforts of the whole Party and the entire nation, we have realized the first centenary goal of building a moderately prosperous society in all respects,"" Chinese President Xi Jinping declared at a ceremony marking the centenary of the Communist Party of China (CPC) on July 1. With the announcement, China brought about a historic resolution to the problem of absolute poverty. The country is now marching toward the second centenary goal of building China into a great modern socialist country in all respects.

Chinese President Xi Jinping, also general secretary of the Communist Party of China (CPC) Central Committee and chairman of the Central Military Commission, delivers an important speech at a ceremony marking the centenary of the CPC in Beijing, capital of China, July 1, 2021. /Xinhua Chinese President Xi Jinping, also general secretary of the Communist Party of China (CPC) Central Committee and chairman of the Central Military Commission, delivers an important speech at a ceremony marking the centenary of the CPC in Beijing, capital of China, July 1, 2021. /Xinhua

Within eight years, China successfully lifted the final 98.99 million impoverished people out of poverty, together with 832 impoverished counties and 128,000 villages. China spent a total of nearly 1.6 trillion yuan (about $246 billion) on eradicating poverty through a strategy of targeted poverty alleviation, striving to eradicate poverty through development. Since the 18th National Congress of the Communist Party of China (CPC) in 2012, Xi has presided over seven central poverty alleviation work symposiums, conducted over 50 research tours on poverty reduction and visited all of China's 14 contiguous impoverished areas. Millions of cadres were sent to the front line of poverty alleviation. Among them, over 1,800 workers lost lives for the country's great cause. In Xi's words, the eradication of absolute poverty has represented a miraculous achievement in China. The victory has been secured through the combined efforts of the whole Party and the nation.

A grand gathering is held to mark the country's accomplishments in poverty alleviation and honor its model poverty fighters at the Great Hall of the People in Beijing, capital of China, February 25, 2021. /Xinhua A grand gathering is held to mark the country's accomplishments in poverty alleviation and honor its model poverty fighters at the Great Hall of the People in Beijing, capital of China, February 25, 2021. /Xinhua

Advancements in space exploration China's space dream is another highlight of the year 2021. The country declared a complete success of the Shenzhou-12 manned spaceflight mission after three Chinese astronauts landed safely on Earth on September 17, ending their three-month space travel. On April 29, China launched the Tianhe core module of the China Space Station. Just as Xi said during his conversation with the astronauts on June 23, ""the construction of the space station is a milestone in China's space industry, which will make pioneering contributions to the peaceful use of space by humanity.""

Chinese astronauts wave at crowds after landing safely at Dongfeng Landing Site in Inner Mongolia Autonomous Region, north China, September 17, 2021. /Xinhua Chinese astronauts wave at crowds after landing safely at Dongfeng Landing Site in Inner Mongolia Autonomous Region, north China, September 17, 2021. /Xinhua

Read more: On Chang'e-5 mission day, looking back on Xi's key quotes on China's space dream Xi's words unveiled China's relentless spirit in its pursuit of space exploration. In fact, Xi has always been watching closely over the growth of China's aerospace industry. Since the 18th CPC National Congress in 2012, the Chinese president made several important instructions on the development of the industry, hoping it would continue making new breakthroughs through innovation and self-reliance. From the launch of China's first man-made space satellite Dongfanghong-1 to the Shenzhou-12 spacecraft, these 50 years have witnessed how China is striving to pursue its dream of ""flying into the sky and reaching for the moon."""
Xi Jinping's key quotes at general debate of 76th session of UNGA,"Chinese President Xi Jinping on Tuesday made a statement at the general debate of the 76th session of the United Nations General Assembly via video link.

Here are some key quotes from the statement."
Guineans expect new government to tackle corruption,"On September 5, special forces in Guinea said they had captured President Alpha Conde and dissolved the government. CGTN Stringer interviewed some people in the Guinean capital, Conakry, about their thoughts on the upcoming new government."
Germany's coal conundrum divides chancellor candidates,"A landmark deal reached between the German government and the country's largest coal companies promised to shut down coal production before 2038, but recently updated climate legislation may require that date to be brought forward significantly to meet new emissions targets.

The revised Climate Action Law will require Germany to become carbon neutral by 2045 and cut greenhouse gas emissions by 65 percent before the end of the decade.

While no candidate eyeing the chancellery has opposed the updated policy or planned phasing out of coal power, party platforms are divided over the timeline to get it all done.

Chancellor Angela Merkel and her CDU successor Armin Laschet have said they are committed to the agreed date set for 2038 and nothing sooner. Meanwhile, the climate-conscious Green party is pushing for a quicker inclusion of more renewable energy sources.

READ MORE

Five things: China's Mid-Autumn Festival

Aukus 'a wake-up call for Europe'

Walking a tightrope above Paris



Any changes to the deal could have a major knock-on effect for industrial regions that have been built up around the coal industry. Eastern regions such as Lausitz could face thousands of layoffs and feel an indirect hit to local businesses.

Melanie Zirzow, a coal industry employee, said: ""2038 gives us, let's say, 18 or 19 years to build a new infrastructure accordingly, so that we create opportunities and alternatives for the region."" Adding: ""We need this time. If we get out of coal even earlier, then the problems will only increase.""

Lausitz is home to three active coal mines that dig for lignite, or so-called ""brown coal."" Lignite is one of the dirtiest fossil fuels and has long been in the firing line of climate campaigners.

At present, Germany relies on lignite coal production for 23 percent of electricity needs. Renewable sources, such as solar and wind, account for 33 percent.

While unlikely to be part of the next government, the Alternative for Germany party (AfD) has received growing support from the region in recent elections. Its party platform has called for prioritizing local employment over any urgency to Germany's climate transition.

Parties at the opposite end of the spectrum have voiced similar concerns.

""A structural change requires time 每 time more than money,"" said Torsten Herbst, a member of parliament from the Free Democrats Party representing the region.

""We need an attractive mix for business investors to invest in new industrial jobs. That means lower business tax, a better digital infrastructure, also faster permits for industrial installations.""

Under the original deal, the German government pledged $47 billion to soften the blow that an end to coal production would likely have on the region 每 $5 billion of that is destined for utility companies that close plants, while the rest would help finance a major economic transition.

Even with additional funding, skeptics say it may be impossible to switch out of coal sooner than planned. Construction of renewable sources has slowed in recent years and the country doesn't have enough wind farms or solar panels to meet current supply demands.

""Germany sees itself very much as a leader in climate mitigation, but if we look at the last 10 years, we must admit that we've been lagging behind in slowing down,"" said Timon Wehnert, a researcher on energy transitions at the Wupper Institute.

Construction of additional facilities is planned for the next decade, but storing the excess energy for rainy days is likely to pose a problem.

""Every day is not a sunny day in Germany. Every day is not a windy day in Germany. And the storage facilities for these types of energy sources are very low at present,"" he added. ""In the long term, we need to think about the storage question."""
China's Space Station vs. International Space Station,"China's first space station will be in full operation by next year. How did China build it on its own? While the future of the nearly 23-year-old International Space Station remains uncertain after 2024, will international cooperation be possible?"
Scientists make first-aid bandages out of durian husks,"Scientists at Nanyang Technological University in Singapore have devised a new way to make food waste into first aid.

Take a look at the new process that turns durian husks into anti-bacterial bandages."
Rumor of Chinese scientists deleting sequencing data cleared up,"In early 2020, Chinese researchers at Wuhan University submitted their new coronavirus sequencing method to the international academic journal Small. The related sequences taken from 34 patients were also uploaded to an online database maintained by the U.S. National Institutes of Health (NIH). One year later, an American virologist found himself unable to find the data while researching the virus. Did Chinese scientists delete genetic sequences data related to COVID-19 patients? Check the video to find out."
Tiger Taming Quan: A precious fist technique from Wudang Mountains,"Tiger Taming Quan is one of the most precious fist techniques of Chinese martial arts attributable to Wudang Mountains. Legend has it that it can tame tigers. Its movements are swift and powerful. Most of the techniques are related to the legs, fists and hands."
Shenzhou-12 crew expresses gratitude,"The China Manned Space Engineering Office announced on September 16 that the Shenzhou-12 manned spacecraft had successfully separated from China's space station.

The Shenzhou-12 crew has worked and lived in the space station for 90 days, setting a new record for Chinese astronauts on a single mission.

The astronauts saluted and expressed their gratitude to the people who have supported them from the home planet Earth."
