,Summary,Text
204,Beijing 2022 testing events to be held as planned in next 3 months,"The press conference for the Beijing 2022 Winter Olympics test events and activities in Beijing, China, October 4, 2021. /CGTN

The press conference for the Beijing 2022 Winter Olympics test events and activities in Beijing, China, October 4, 2021. /CGTN

The final rounds of 15 testing events and activities for the Beijing 2022 Winter Olympics will be held as scheduled in the next three months with the participation of international teams and organizations, according to officials of the organizing committee.

The testing events will be held in eight ice and snow competition venues in Beijing and Zhangjiakou, north China's Hebei Province and involve the trial of various facilities, timing and medical services, COVID-19 safety measures and other elements ahead of the 2022 Games.

The test events include 10 international competitions, three international training weeks and two domestic test events, with coordination from the International Olympic Committee (IOC).

Two thousand international athletes, sports experts and IOC officials will attend the event.

Key events will be broadcast to the world, and spectators from the Chinese mainland will be invited to view the games.

The Beijing 2022 Winter Olympics is scheduled to take place from February 4 to 20 next year, with the Paralympics due to follow from March 4 to 13."
205,"DPRK, ROK restore inter-Korean hotlines","Pyongyang and Seoul restored cross-border communications on Monday, with officials exchanging their first phone call since lines were cut in August.

The Democratic People's Republic of Korea (DPRK) earlier announced that it would restore severed inter-Korean hotlines on Monday, but urged the Republic of Korea (ROK) to step up efforts to improve relations, state media outlet KCNA reported.

Read more:

DPRK cuts off all communication lines with ROK, not answering calls

China says it supports dialogue to resolve the Korean Peninsula issue

The report said the decision followed a speech by the DPRK's top leader Kim Jong Un last Thursday in which he expressed the intention of restoring the cut-off inter-Korean communication lines as part of an effort to ""realize the expectations and desire of the entire Korean nation.""

""The South Korean (ROK's) authorities should make positive efforts to put the north-south ties on a right track and settle the important tasks which must be prioritized to open up the bright prospect in the future, bearing deep in mind the meaning of the restoration of communication lines,"" the report said.

Seoul later confirmed that it had restored cross-border communication with Pyongyang. ""The government evaluates that a foundation for recovering inter-Korean relations has been provided,"" the ROK's Unification Ministry said in a statement.



The ROK's government also expressed hope that the two sides would swiftly resume dialogue and begin practical discussions to improve inter-Korean relations.

Inter-Korean ties have remained cold since the summit between the DPRK and the United States ended without a deal in early 2019. The inter-Korean hotlines were briefly back in operation in late July, but the DPRK refused Seoul's regular calls again two weeks later in protest at joint military drills by the ROK and the U.S.

(With input from Xinhua)"
206,Palestinian president receives Israeli ministers at Ramallah,"Palestinian President Mahmoud Abbas met with an Israeli government delegation in the West Bank city of Ramallah on Sunday evening, the second meeting between the two sides in a month. During the meeting with Israeli Minister of Health Nitzan Horowitz and Minister of Regional Cooperation Issawi Frej, Abbas said that it is important to end the Israeli occupation and achieve just and comprehensive peace in the region, through the implementation of international resolutions, Palestine News Agency reported. Abbas called for the halting of Israeli settlement, an end to raids on Palestinian towns and villages, and for the demolition of homes and displacement of the Palestinians in East Jerusalem to stop.

The two Israeli ministers explained to Abbas their support for the two-state solution and joint cooperation to build confidence between the two sides.



""We have a common mission,"" Horowitz wrote later on Twitter. ""To maintain the hope of a peace founded on the two-state solution."" The tweet included a photo of him standing with Abbas.



Meetings between Abbas and Israeli ministers and officials have been taking place over the past three months after the bilateral direct peace negotiations had been stalled since March 2014.



The U.S.-sponsored talks between the Israelis and the Palestinians stopped in 2014 following disagreements on Israeli settlement and the recognition of establishing a Palestinian state on the 1967 border.



Israel occupied the West Bank and East Jerusalem, which are claimed by the Palestinians, in the 1967 Middle East war and has controlled them ever since.



Addressing the United Nations General Assembly last month, Abbas gave Israel one year to withdraw from occupied territory, failing which he would no longer recognize the Jewish state based on pre-1967 borders.

(With input from AFP, Xinhua)"
207,Hundreds of migrants rescued off Libyan coast: UNHCR,"Migrants are seen on a boat off the coast of Libya, July 18, 2021. /CFP

Migrants are seen on a boat off the coast of Libya, July 18, 2021. /CFP

More than 550 people, including three children, had been rescued off Libya's coast in two separate operations, the United Nations High Commissioner for Refugees (UNHCR) said on Sunday.

In one of the operations, ""around 500 people disembarked at Azzawiya Refinery Point after being rescued or intercepted at sea on wooden boat this morning,"" the UNHCR tweeted.

In the other operation, the agency added, 56 people, including three children, were rescued after the engine on their rubber boat had broken at sea.

Libya, suffering insecurity and chaos since 2011, has been a preferred point of departure for migrants who want to cross the Mediterranean Sea to European shores."
208,UK must prepare for a post-Brexit period of adjustment - Boris Johnson,"""What we would rather do is help people into better paid better skilled jobs, which is what is happening.""

""The way forward for our country is not to just pull the big lever marked 'uncontrolled immigration' and allow in huge numbers of people,"" he said in a BBC TV interview Sunday morning.

Johnson said the lack of lorry drivers was partly due to low pay and poor conditions, and that the free movement of cheap labor pre-Brexit had been the real problem.

UK Prime Minister Boris Johnson has warned that there is no quick fix for the driver shortage which has helped prompt panic-buying at petrol stations, among other problems, and said that the UK must prepare for what he called, a ""period of adjustment"" after Brexit.

With the fuel crisis now in its second week there are signs that sufficient petrol deliveries are getting through in some parts of the country to end the long queues which have appeared whenever a tanker arrives to refill the pumps. The Petrol Retailers Association says that in Wales, Scotland and the north of England the situation was starting to return to normal.

But in the most populous parts of Britain - London and the southeast - the situation is getting worse. The association's latest figures show that 22 percent of petrol stations in this part of the country have no fuel at all, compared with 16 percent two days ago.

""If you find fuel without visiting six or seven garages then you are very lucky,"" was how one London motorist described it.

Starting on Monday, around 100 military personnel will be driving petrol tankers in a bid to ease the shortage of lorry drivers.

Driver training courses have also been ramped up, though it will take time to take effect. The government will now offer longer six-month visas to attract foreign drivers but warns that increased immigration is just a short-term solution.

Farmers, though, complain that even with higher wages they can't attract enough local people for what is generally unskilled physical labor. This, along with the driver problems, has seen some empty shelves in supermarkets.

Health service and business leaders also complain that the labor shortages are affecting managers and professionals while the business organization, the Institute of Directors, says many sectors are having trouble attracting enough managers and professionals.

But it has been the panic buying at petrol stations that has focused minds on the problems, providing a political headache for the ruling Conservative Party as it meets for its annual party conference."
209,Russia test-fires Zircon hypersonic missile from nuclear submarine,"Russia's Defense Ministry said on Monday that the country's navy has successfully test-fired a Zircon hypersonic missile from a nuclear submarine at a conditional target for the first time.

Dubbed by Russian President Vladimir Putin as an ""invincible"" weapon, the missile is part of a new generation of unrivaled arms systems.

The defense ministry, which tested firing the Zircon missile from a warship in July, said that the Severodvinsk submarine had fired the missile while deployed in the Barents Sea and had hit its chosen target.

""The test launch of the Zircon missile from a nuclear submarine was considered successful,"" the defense ministry said in a statement.

Low-quality video footage released by the ministry showed the missile shooting upwards from a submarine, its glare lighting up the night sky and illuminating the water's surface.

Moscow has in recent years touted the development of weapons that it hopes will give it the edge in any arms race with the United States at a time of growing tensions with the West.

Hypersonics can travel more than five times the speed of sound and maneuver in mid-flight, making them much harder to track and intercept than traditional projectiles.

(With input from agencies)

(Cover: File: A Zircon hypersonic cruise missile is fired from the guided missile frigate Admiral Gorshkov in the White Sea, 2019. /Reuters)"
210,Magnitude 5.7 earthquake hits Iran,"A 5.7-magnitude earthquake jolted Iran at 0239 GMT on Monday, according to the China Earthquake Networks Center (CENC).



The epicenter was recorded at a depth of 10 kilometers."
211,COVID-19 Live Updates: Global cases surpass 234 million,"Pharmaceutical company Merck said Friday that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people recently infected with the coronavirus and that it would soon ask health officials in the U.S. and around the world to authorize its use.

If cleared by regulators, it would be the first pill shown to treat COVID-19, adding a whole new, easy-to-use weapon to an arsenal that already includes the vaccine.

The company said it will soon seek approval from health officials in the U.S. and around the world to authorize the pill's use. A decision from the U.S. Food and Drug Administration could come within weeks. And the drug, if it gets the OK, could be distributed quickly soon afterward.

All other COVID-19 treatments now authorized in the U.S. require an IV or injection. A pill taken at home, by contrast, would ease pressure on hospitals and could also help curb outbreaks in poorer and more remote corners of the world that don't have access to the more expensive infusion therapies.

""This would allow us to treat many more people much more quickly and, we trust, much less expensively,"" said Dr. William Schaffner, an infectious disease expert at Vanderbilt University, who was not involved in the research.

Merck and its partner Ridgeback Biotherapeutics said early results showed patients who received the drug, molnupiravir, within five days of COVID-19 symptoms had about half the rate of hospitalization and death as those who received a dummy pill.

The study tracked 775 adults with mild-to-moderate COVID-19 who were considered high risk for severe disease because of health problems such as obesity, diabetes or heart disease. The results have not been reviewed by outside experts, the usual procedure for vetting new medical research.

Among patients taking molnupiravir, 7.3 percent were either hospitalized or died at the end of 30 days, compared with 14.1 percent of those getting the dummy pill. After that time period, there were no deaths among those who received the drug, compared with eight in the placebo group, according to Merck.

The results were so strong that an independent group of medical experts monitoring the trial recommended stopping it early.

Company executives said they plan to submit the data to the FDA in the coming days.

Vaccines still important

Even with the news of a potentially effective new treatment, experts stressed the importance of vaccines for controlling the pandemic, given that they help prevent transmission and also reduce the severity of illness in those who do get infected.

White House coronavirus coordinator Jeff Zients said that vaccination will remain the government's main strategy for controlling the pandemic. ""We want to prevent infections, not just wait to treat them when they happen,"" he said.

Dr Anthony Fauci, the government's foremost authority on infectious diseases, called the results from Merck ""very good news.""

Merck only studied its drug in people who were not vaccinated. But FDA regulators may consider authorizing it for broader use in vaccinated patients who get breakthrough COVID-19 symptoms.

Andrew Pekosz of Johns Hopkins University predicted vaccines and antiviral drugs would ultimately be used together to protect against the worst effects of COVID-19.

""These shouldn't be seen as replacements for vaccination – the two should be seen as two strategies that can be used together to significantly reduce severe disease,"" said Pekosz, a virology specialist.

Patients take four pills of molnupiravir twice a day for five days. Side effects were reported by both groups in the Merck trial, but they were slightly more common among those who received a dummy pill. The company did not specify the problems.

Earlier study results showed the drug did not benefit patients who were already hospitalized with severe disease. That's not surprising, given that antiviral drugs are most effective when used before the virus ramps up in the body.

The U.S. has approved one antiviral drug, remdesivir, for COVID-19, and allowed emergency use of three antibody therapies that help the immune system fight the virus. But all the drugs are expensive and have to be given by IV or injection at hospitals or clinics, and supplies have been stretched by the latest surge of the Delta variant.

The antibody drugs have been shown to reduce hospitalization and death by roughly 70 percent when given to high-risk patients, roughly 20 percentage points more than Merck's pill. But experts cautioned against comparing results from the two, given the preliminary nature of Merck's data.

Health experts, including Fauci, have long called for a convenient pill that patients could take when COVID-19 symptoms first appear, much the way Tamiflu is given to help speed recovery from the flu.

Like other antivirals, Merck's pill works by interfering with the virus's ability to copy its genetic code and reproduce itself.

The U.S. government has committed to purchasing enough pills to treat 1.7 million people, assuming the FDA authorizes the drug. Merck said it can produce pills for 10 million patients by the end of the year and has contracts with governments worldwide. The company has not announced prices.

Several other companies, including Pfizer and Roche, are studying similar drugs and could report results in the coming weeks and months.

Merck had planned to enroll more than 1,500 patients in its late-stage trial before the independent board stopped it early. The results reported Friday included patients across Latin America, Europe and Africa. Executives estimated 10 percent of patients studied were from the U.S."
212,Massive oil spill blights Southern California coast,"As of late October 2, crude was no longer leaking from a Southern California pipeline believed to be the source of a massive oil spill that closed miles of popular beaches, said Martyn Willsher, CEO of Amplify Energy, which owns the affected facility. Willsher said divers are still trying to determine where and why the leak occurred.

At least 3,000 barrels of crude spilled into the waters off Orange County starting late October 1 or early October 2, when boaters began reporting a sheen in the water, local officials said."
213,A rules-based world order: Unmasking American hypocrisy,"Editor's note: Bobby M. Tuazon is the director for policy studies of a Philippine think tank, Center for People Empowerment in Governance (CenPEG), and a professor at the University of the Philippines. He is also an editor and co-author of 15 books. The article reflects the author's opinions and not necessarily those of CGTN.

U.S. President Joe Biden's commitment to a peaceful and more secure global community under American leadership is a hollow rhetoric and packs more dangers. In his interim national security strategy issued last March, Biden assures the U.S. will steer clear of wars but will keep using sanctions to rein in China, Russia, and other ""rogue regimes"" to comply with a rules-based world order. Further sanctions will be used to compel China to respect human rights in Xinjiang Uygur Autonomous Region, Xizang (known as Tibet) Autonomous Region and Hong Kong Special Autonomous Region, the strategy revealed.

Setting the tone to define his national security strategy, Biden's sanctions tool will in fact create more instability and bring the world closer to a ""new cold war"" as many countries have sounded out.

Sanctions have been in the arsenal of U.S. foreign policy alongside war interventionism at great cost to human lives and economies of many countries. As a result, many countries are calling on the sole superpower to renounce this weapon even as the U.S. faces investigations at the International Criminal Court (ICC) and the UN for war crimes and crimes against humanity. But the U.S. remains nonchalant.

For the 29th consecutive year, the UN General Assembly last June voted 184-2 for ending the U.S.' 60-year embargo on Cuba. Only two – the U.S. and Israel – voted against the resolution with three abstentions. The delegation of Indonesia, ASEAN's leading member, said the blockade violated international law and the sovereign equality of states and hinders Cuba's recovery from the COVID-19 pandemic.

For decades, the U.S. is the only country that has used indiscriminately economic sanctions including embargoes and tariffs on states that threaten American unilateralism, its self-proclaimed democratic model, and economic supremacy. In recent years, it has also resorted to lawfare to blunt competition from other countries in the guise of protecting the world economic order.

In the case of Cuba, for instance, the U.S. supported the 1961 Bay of Pigs invasion by Fulgencio Batista followers while imposing an economic embargo the year before to preempt the island country south of Florida from becoming a socialist state. Cuban socialism was beginning to inspire other countries in South America, threatening America's proverbial sphere of influence.

In the 20th century, the U.S. has figured in at least 70 wars of aggression in as many countries. The wars of aggression combined the use of economic sanctions including against countries that may not necessarily qualify in America's list of enemies.

Arguably the country most brutally affected by U.S. economic sanctions since the 1950s is the Democratic People's Republic of Korea (DPRK), with new trade and financial embargoes imposed in 2006 by George W. Bush, who named the DPRK in his ""axis of evil."" Tagged by Donald Trump's former national security adviser John Bolton as ""beyond the axis of evil,"" Syria continues to be subjected to strong trade restrictions."
214,Meng Wanzhou's freedom inspires an overhaul of U.S. state capitalism,"Editor's note: Huang Yongfu is an economic affairs commentator. After earning a PhD, he started his career at the University of Cambridge and then moved on to the UN system. He is the author of many papers and books related to economics. His current interests lie in global development and Sino-U.S. links, especially trade, financial and technological issues. He can be reached via yfhcambridge@hotmail.com. The article reflects the author's opinions and not necessarily the views of CGTN.

The release of Huawei's Chief Financial Officer Meng Wanzhou came as a surprise, which removed one source of tension between Beijing and the West. However, the company may continue to face charges, as U.S. Commerce Secretary Gina Raimondo indicated on September 24 that the Joe Biden administration would continue efforts to block Huawei from getting advanced chips if necessary.

Global opinions should be shaped in ways that stymie America's capricious, assertive and extremely destructive behaviors as a single superpower unconstrained by rules.

Meng's hostage-taking incident was part of the U.S.'s sanctions on Huawei, making a mockery of Western liberalism and free-market competition. Under an ""industrial policy"" for designated industries deemed strategically important, America's state capitalism embraces statist oversight and intervention to attack ""foreign adversaries"" through sanctions or boost industries through increased subsidies or funding.

By declaring a ""national security risk"" or ""human rights abuses,"" America has been aggressively deploying a wholesale weaponization of economic tools aimed at slowing China's technological advancement on a systemic level. Moves have been afoot to wall off sensitive technologies against China behind tariff barriers, import and export controls, subsidies and tougher investment-screening rules, to which the U.S.-China trade war had already led.

As China's biggest high-tech company and among the largest manufacturers of telecoms equipment globally making superior and cost-effective products, Huawei holds a dominant role in 5G technologies with many crucial patents on superfast 5G mobile networks. Huawei represents a technological challenge to U.S. hard power essential for achieving superiority in the military realm. America has unleashed a barrage of actions to cripple Huawei, on the grounds that its smart-phones and networking gear could be Trojan horses for Chinese spies that threaten Western interests.

On import controls, the U.S. Commerce Department put forward policies to prevent imports of any new technology deemed linked to a ""foreign adversary,"" covering chips and data services. The U.S. also urged its allies to stop using equipment in their 5G networks from Huawei 5G standards and technologies that make up part of China's Belt and Road Initiative. The most recent case is the U.S. on July 9, 2021, blacklisting a series of Chinese technology companies from which imports are limited under the premise of human rights abuses in the Xinjiang Uygur Autonomous Region."
215,Biden's make or break moment?,"U.S. President Joe Biden, accompanied by Speaker of the House Nancy Pelosi, leaves a meeting with members of the House Democratic caucus in Washington, D.C., U.S., October 1, 2021. /Getty

U.S. President Joe Biden, accompanied by Speaker of the House Nancy Pelosi, leaves a meeting with members of the House Democratic caucus in Washington, D.C., U.S., October 1, 2021. /Getty

Editor's Note: Freddie Reidy is a freelance writer based in London. He studied history and history of art at the University of Kent, Canterbury, specializing in Russian history and international politics. The article reflects the author's opinions and not necessarily the views of CGTN.

There can be little doubt that President Joe Biden is in the midst of his greatest challenge yet as president. On September 30, Democratic House Speaker Nancy Pelosi was forced to delay the vote on the administration's flagship $1 trillion infrastructure bill.

Underlying the political significance of this initiative to his administration, Biden cancelled a scheduled trip to Chicago to join the whipping operation to secure Democratic backing for the bill and effort which ultimately failed. This was then followed by a surprise visit by the president to Congress in a bid to break the deadlock.

The $1 trillion infrastructure bill does have bipartisan support; however, it is inextricably linked to a much larger $3.5 trillion welfare and climate package which is widely opposed by Republican rivals and conservative Democratic centrists.

Consequently, left-wing Democrats are withholding their support for the $1 trillion bill unless guarantees are made to secure the wider $3.5 trillion package.

The delay of the vote reveals two problems the Biden administration faces. First, the Democrats hold a wafer-thin majority in Congress and a majority of one in the Senate in the form of Vice President Kamala Harris' tie-breaking vote. This gives disproportionate influence to individuals, such as Senator Joe Manchin or Kyrsten Sinema on the right of the party, to effectively block the legislative agenda. This obstacle necessitates the support of left-leaning Republicans and in turn, a concession to their demands. A personal mandate in the form of strong personal approval ratings is an effective foil to the impasse, but an unpopular president and a divided house create a ""lame duck"" presidency."
216,Political Calendar: Blinken visits Paris to mend ties damaged by AUKUS,"In the upcoming week, Japan's ruling Liberal Democratic Party president, Fumiko Kishida, will be formally elected as prime minister, U.S. Secretary of State Antony Blinken will travel to Paris for talks with French Foreign Minister Jean-Yves Le Drian in an effort to mend ties and China will commemorate the 110th anniversary of the historic 1911 revolution.

Blinken to address 'crisis of trust' with French FM

U.S. Secretary of State Antony Blinken will travel to Paris on Monday and hold talks with French Foreign Minister Jean-Yves Le Drian on Tuesday, the State Department has announced.

Blinken's three-day trip comes as part of efforts by President Joe Biden's administration to repair relations after a rift emerged between the allies over the AUKUS deal, under which Australia would build at least eight nuclear-powered submarines with U.S. and British technology, cancelling a previous multi-billion dollar deal for French-designed submarines.

Le Drian said last week that the nuclear submarine deal cancellation caused a ""crisis of trust"" between allies and required an explanation.

Diplomatic relations between Washington and Paris hit a low point last month following the announcement of the pact. In retaliation, France briefly withdrew its ambassador to the U.S., although the ambassador has since returned to Washington, D.C.

China marks 110th anniversary of 1911 Revolution

China will commemorate the 110th anniversary of the 1911 Revolution, also known as the Xinhai Revolution, on Sunday.

China's central bank, the People's Bank of China, has issued a set of commemorative coins to mark the event.

The revolution, which began on October 10, 1911, ended the autocratic monarchy that had ruled China for more than 2,000 years, helped spread the ideas of democracy and republicanism, and promoted the social reform of modern China.

Day by day

Monday: President of the ruling Liberal Democratic Party Fumiko Kishida is formally elected as prime minister of Japan; Russian Foreign Minister Sergei Lavrov holds talks with Egyptian Foreign Minister Samih Shukri in Moscow; British Chancellor of the Exchequer Rishi Sunak speaks at the Conservative party annual conference in London; Austrian President Alexander van der Bellen visits Nazi German concentration camp Auschwitz-Birkenau as well as Warsaw during a visit to Poland; Eurozone finance ministers discuss EU recovery plans, G20 and IMF meetings, banking union, fiscal policy in Brussels; 21st OPEC and non-OPEC ministerial meeting in Vienna.

Tuesday: French Foreign Minister Jean-Yves Le Drian holds talks with U.S. Secretary of State Antony Blinken in Paris; Israeli President Isaac Herzog pays first official visit to Ukraine (to Thursday); European Parliament holds debate in Brussels on future of EU-U.S. relations and long resolution calling for increased transatlantic cooperation on foreign and security policy and trade; Virtual meeting of the OECD Council at Ministerial Level (MCM) ""Shared Values: Building a Green and Inclusive Future"" (to Wednesday).

Wednesday: Chief Executive of China's Hong Kong Special Administrative Region Carrie Lam delivers the 2021 Policy Address; German President Frank-Walter Steinmeier to visit Ukraine.

Thursday: 20th anniversary of the U.S. launching war in Afghanistan; EU Justice and Home Affairs Council meeting (to Friday).

Friday: Japan's new prime minister delivers a policy speech; French President Emmanuel Macron chairs Africa-France summit with many African heads of state.

Saturday: A quiet day in politics.

Sunday: 110th anniversary of China's 1911 Revolution; Election for Iraqi Council of Representatives; 51st anniversary of Fiji's independence."
217,"Meet Fumio Kishida, Japan's next prime minister","Fumio Kishida became Japan's 100th prime minister by an extraordinary session of the Diet at the imperial palace on Monday, and will be formally appointed by Emperor Naruhito. The 64-year-old former foreign minister won a highly competitive race for the Liberal Democratic Party's (LDP) leadership last Wednesday, defeating Taro Kono, the minister for administrative affairs in a runoff vote. Kishida's predecessor, Yoshihide Suga, announced his resignation last month after just one year in office. Kishida reportedly plans to retain current Foreign Minister Toshimitsu Motegi and Defense Minister Nobuo Kishi. He is expected to dissolve the lower house of parliament on October 14, and is set to call elections for October 31.

A TV showing the results of the Liberal Democratic Party's presidential election in Tokyo, September 29, 2021. The Japanese letters read: ""Fumio Kishida new LDP president."" /AP A TV showing the results of the Liberal Democratic Party's presidential election in Tokyo, September 29, 2021. The Japanese letters read: ""Fumio Kishida new LDP president."" /AP

Kishida was born into a political family in Shibuya Ward of Tokyo – both his father and grandfather were legislators in the lower house. Having spent his childhood in Hiroshima, he moved with his family to New York at the age of six when his father was appointed as a trade official to the U.S. He spent three years in primary school there. After graduating from the School of Law of Waseda University in 1982, Kishida started a career in banking before entering politics as a Representative for Hiroshima's first district. In 2007, he was appointed minister of state for Okinawa affairs and the Northern Territories (the islands in dispute between Japan and Russia, known as Kuril Islands in Russia) firstly in the Shinzo Abe cabinet and later in the Yasuo Fukuda cabinet. While working as foreign minister under Abe, Kishida gained a positive reputation for his balanced views on foreign policy. In 2014, he traveled to Beijing to attend the APEC Ministerial Meeting, right after China and Japan reached a four-point consensus to improve bilateral ties. At the Seventh Trilateral Foreign Ministers' Meeting among Japan, China and South Korea in 2015, Kishida shared views with his counterparts to further cooperate in areas of environmental protection, disaster management and cultural exchange.

Kishida (L) meeting Chinese Foreign Minister Wang Yi (R) and Foreign Minister Yun Byung-se of the ROK, 2015. /AP Kishida (L) meeting Chinese Foreign Minister Wang Yi (R) and Foreign Minister Yun Byung-se of the ROK, 2015. /AP

Kishida has been seen as a dovish policymaker, coming from Kochikai, a faction of LDP with a pro-China tradition. However, his recent steps have been influenced by various political forces within the LDP, as well as public opinion. ""The hawkish attitude towards China he has displayed during the campaign is in contrast to his political ideals of being mild and moderate, as he needs to win the support from party members,"" said Li Tingjiang, director of the Research Center for Japanese Studies at Tsinghua University. ""Whether he is able to carry out his political ideas during his tenure depends on time."" Li, also the professor from the Law School at Chuo University, added that Kishida's approach to East Asian relations will likely remain unchanged, at least before the general election expected at the end of October. But in such realms as the economy and technology, Kishida affirmed that China and Japan need to maintain cooperation as the two countries share common interests. He is likely to follow the track of Japan's dual-track diplomacy by strengthening the U.S.–Japan alliance while supporting ASEAN's multilateral mechanisms. ""The development of Japan-U.S. relations also depends on changes in China-U.S. relations,"" said professor Li. As a long-time supporter of a strong alliance with Washington, Kishida is likely to keep Japan's close ties with the U.S. unchanged. Kishida comes from Hiroshima, a city annihilated by atomic weapons in 1945. During his political life, he has advocated for nuclear disarmament. In 2014, he proposed specific measures to reduce nuclear risks including increasing the transparency of information in countries with nuclear weapons. He also helped coordinate a historic 2016 visit by then U.S. President Barack Obama to Hiroshima. As foreign minister, he reached an agreement with South Korea over the long-standing issue of Korean ""comfort women,"" saying his government would fund one billion yen ($8.3 million) to help those who suffered sexual abuse by Japan's military during World War II.

Doves fly over the Peace Memorial Park near Atomic Bomb Dome (L) at a ceremony in Hiroshima, August 6, 2015. /Reuters Doves fly over the Peace Memorial Park near Atomic Bomb Dome (L) at a ceremony in Hiroshima, August 6, 2015. /Reuters

Kishida has set Japan's economic recovery as a priority. During the campaign, he called for building a stronger middle-class and narrowing the income gap with a plan that differentiates from ""Abenomics"" – an economic policy package driven by Abe to realize sustainable growth. Despite profit increases in the corporate sector, the country has experienced sluggish consumption and prolonged stagnation. The incoming prime minister has pledged to start a “positive cycle of growth” and to raise people's income, not just to benefit big corporations. Earlier this month, he promised a stimulus package worth tens of trillions of yen, including financial aid to individuals and businesses hit by the COVID-19 pandemic. He also plans to distribute housing and educational subsidies to boost consumption.

Kishida plans to pursue a new form of capitalism to reduce income disparity if he becomes PM. /AP Kishida plans to pursue a new form of capitalism to reduce income disparity if he becomes PM. /AP

What does he like? Kishida has developed the image of a man who keeps to a simple life and stays humble. During his years working as minister of state for Okinawa affairs and the Northern Territories, he frequented a ramen restaurant near his office and always sat at a small table even after he rose to a higher post and was accompanied by more aides. Instead of ordering ramen with lots of toppings, he would order a simple dish costing about 200 yen ($1.80). Yet he does not enjoy widespread public popularity and has been said to lack charisma, despite being backed by the party's veteran politicians. After losing to Suga last year, Kishida has been trying to change his serious and bland image by connecting more to the public, including by letting people know more about his personal life through social media. ""I have three sons. Yesterday my third son turned 20 (the legal drinking age in Japan is 20). How nice for us to drink together,"" he tweeted in 2020. He reportedly likes drinking, especially strong liquor like vodka, and has a wine cabinet in his rooms for members of the House of Representatives.

Kishida drinks with his three sons. /@kishida230 Kishida drinks with his three sons. /@kishida230

As a Hiroshima native, Kishida has a special love for okonomiyaki, a pan-fried dish with wheat flour batter and cabbage originally from Hiroshima and Osaka. On the day that he won the leadership election, he published a photo of okonomiyaki on Twitter. ""My wife made me a okonomiyaki after I got home. I always eat fast foods and have talked about how I love the okonomiyaki she makes. She is a good cook. But the dish she makes today is too delicious to forget in my life, "" wrote Kishida. ""Our PM is interesting. The sauce has expired,"" one netizen commented.

A photo of dish made by Kishida's wife (L) and the comments (R). /@kishida230 A photo of dish made by Kishida's wife (L) and the comments (R). /@kishida230"
218,Everything you need to know about China's ambitious space program,"From landing on the far side of the moon and building Mars probes to setting up science experiments on the new Chinese space station, it's undeniable that China is a new force in the age of space exploration.

Emma Keeling talks to a range of experts to find out more."
219,The Great Herbs: Foreign traditional Chinese medicine doctor in China,"08:23

When thinking of traditional Chinese medicine (TCM) doctors, what image comes into your mind? This doctor may challenge your assumptions! The doctor, who speaks fluent Chinese, is Diarra Boubacar. Hailing from the African country of Mali, he is the first foreigner to complete a PhD in TCM in China and has studied and practiced it for more than 30 years.

Boubacar initially studied general surgery, but his love of TCM led him to change course. This was the start of his TCM journey. From reading ancient Chinese books and understanding the nature of TCM to putting theory into practice, learning TCM is not easy, and it's even more difficult for a foreigner. But Boubacar didn't give up and put what he learned into practice. His early patients didn't believe in his medical skills, but were later attracted by his fame, as he was accepted by more and more patients."
220,Battery Recycling and Biomanufacturing Fungus: Full Razor episode,"In the UK, transport accounts for a third of emissions. Electric vehicles are seen a key to reducing this figure with the EU setting a target of 30 million electric vehicles by 2030.

But the efficient recycling of lithium batteries is yet to be perfected.

Emma Keeling meets Dr Dan Reed who heads the University of Birmingham's Relib lab which is focused on developing safe, economic and environmentally sound recycling routes that recover large volumes of valuable materials contained in batteries at the end of their first life.

The aim is to help the UK's efforts to develop a circular economy around raw materials for batteries.

Fungus is rarely regarded as the householder's friend – but scientists are harnessing its properties to help save money... and save the planet.

On this week's episode of RAZOR, Emma Keeling meets the innovative biomanufacturing firm Biohm.

Ehab Sayed founded Biohm after being horrified by the waste within the construction industry. Now he and his team have worked out how to make sustainable, carbon-neutral insulation panels from mycelium – essentially the food-finding 'roots' of fungus."
221,Germany: Life After Merkel - The Agenda with Stephen Cole,"Since the outcome of the German Election, clouds of uncertainty continue hovering over the country. Until a coalition is formed, Europe's economic powerhouse will remain distracted from important global issues by its own internal political ambiguity.

What is crystal clear, though, is that the next chancellor will have big shoes to fill, following Angela Merkel who, during her 16 years in office, became one of the defining figures of global politics.

So, in this week's special program, we examine the aftermath of the election and ask what a new administration will mean for Germany's place on the world stage."
222,World Animal Day: How lovely animals can be!,"October 4 marks World Animal Day, which aims to raise awareness about the welfare of animals around the world. The global event began in 1925, and is of great significance because it encourages love and protection of animals via the involvement of organizations and individuals.

Animals are our companions and every animal deserves to have a good life. There are so many animals on Earth suffering from being used for fashion, entertainment, medicine and other human purposes. We should try as much as we can to create a better quality of life for animals.

Here are some photos of animals taken in 2021, showing how lovely animals can be and how lucky we humans are to live with them under the same sky."
